# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=MICROSOFT TEAM FOUNDATION SERVER,,,,,,,,
memberOf,"CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com",rl.app.tfs.admin,A8GC9,TRUE,TRUE,TRUE,FALSE,TFS Administrators
memberOf,"CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com",rl.app.tfs.ecm,A8GC9,TRUE,TRUE,FALSE,FALSE,Enterprise Change Management Approvers Approves all changes entering the Production Environments
memberOf,"CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Release Code rl.app.tfs.release.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Test and Release approvers Approves all changes for a given Release at the Release level.
memberOf,"CN=RL.app.tfs.test.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",RL.app.tfs.test.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Test Approvers Approves all changes entering and leaving the test environments
memberOf,"CN=rl.app.tfs.scheduler,OU=Groups,DC=corp,DC=suntrust,DC=com",rl.app.tfs.scheduler,A8GC9,TRUE,TRUE,FALSE,FALSE,Automation Scheduler Administrator Defines all schedules for autoated deployments.
memberOf,"CN=RL.App.TFS.CodeReview,OU=Groups,DC=corp,DC=suntrust,DC=com",RL.App.TFS.CodeReview,A8GC9,TRUE,TRUE,FALSE,FALSE,Code Reviewers Reviews sensitive code designated for additional review.
memberOf,"CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.CPWM.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.CPWM.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.CPWM.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.EDO.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.EDO.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.EDO.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Enterprise.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Enterprise.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Enterprise.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Mortgage.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Mortgage.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Mortgage.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.APP.TFS.RiskFinance.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.RiskFinance.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.RiskFinance.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Wholesale.approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.Wholesale.PS.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.tfs.Wholesale.PS.Approver,A8GC9,TRUE,TRUE,FALSE,FALSE,Workstream/Application Manager Approvers Includes portfolio’s production support and leadership of the product team. Coordinates the release of finished product into the production pipeline. 
memberOf,"CN=rl.app.tfs.CPWM.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.CPWM.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=rl.app.tfs.EDO.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.EDO.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=rl.app.tfs.Enterprise.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.Enterprise.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=rl.app.tfs.Mortgage.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.Mortgage.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=RL.APP.TFS.RiskFinance.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code RL.APP.TFS.RiskFinance.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=RL.app.tfs.test.buildadmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code RL.app.tfs.test.buildadmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=rl.app.tfs.Wholesale.BuildAdmin,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.Wholesale.BuildAdmin,A8GC9,TRUE,FALSE,FALSE,FALSE,Work Stream Build Administrators Build and Release creation.
memberOf,"CN=rl.app.tfs.ACA.leaddev,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.ACA.leaddev,A8GC9,TRUE,FALSE,FALSE,FALSE,Application Lead Developer Manage all merging and branching.
memberOf,"CN=rl.app.tfs.ACI.LeadDev,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.ACI.LeadDev,A8GC9,TRUE,FALSE,FALSE,FALSE,Application Lead Developer Manage all merging and branching.
memberOf,"CN=rl.app.tfs.ACX.LeadDev,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.ACX.LeadDev,A8GC9,TRUE,FALSE,FALSE,FALSE,Application Lead Developer Manage all merging and branching.
memberOf,"CN=rl.app.tfs.ADH.leaddev,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.tfs.ADH.leaddev,A8GC9,TRUE,FALSE,FALSE,FALSE,Application Lead Developer Manage all merging and branching.
memberOf,"CN=RL.APP.TFS.ADM.LEADDEV,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code RL.APP.TFS.ADM.LEADDEV,A8GC9,TRUE,FALSE,FALSE,FALSE,Application Lead Developer Manage all merging and branching.
